DateTime,Ram(MB),VirtualResource(MB),CPU(%),Memory(%),Runtime,ProcessName,VehicleSpeed
2020-05-21 11:51:12.589460,22204,651060,0.0,0.1,0:02.29,slam_karto,0.0
2020-05-21 11:51:12.749050,22204,651060,6.7,0.1,0:02.30,slam_karto,0.0
2020-05-21 11:51:12.907673,22204,651060,0.0,0.1,0:02.30,slam_karto,0.0
2020-05-21 11:51:13.065334,22204,651060,0.0,0.1,0:02.30,slam_karto,0.0
2020-05-21 11:51:13.226081,22204,651060,6.7,0.1,0:02.31,slam_karto,0.0
2020-05-21 11:51:13.386783,22204,651060,6.2,0.1,0:02.32,slam_karto,0.0
2020-05-21 11:51:13.544403,22204,651060,0.0,0.1,0:02.32,slam_karto,0.0
2020-05-21 11:51:13.704762,22204,651060,0.0,0.1,0:02.32,slam_karto,0.0
2020-05-21 11:51:13.862289,22204,651060,6.7,0.1,0:02.33,slam_karto,0.0
2020-05-21 11:51:14.021461,22204,651060,0.0,0.1,0:02.33,slam_karto,0.0
2020-05-21 11:51:14.179006,22204,651060,0.0,0.1,0:02.33,slam_karto,0.0
2020-05-21 11:51:14.338366,22204,651060,6.2,0.1,0:02.34,slam_karto,0.0
2020-05-21 11:51:14.501271,22204,651060,6.7,0.1,0:02.35,slam_karto,0.0
2020-05-21 11:51:14.661427,22204,651060,0.0,0.1,0:02.35,slam_karto,0.0
2020-05-21 11:51:14.839644,22204,651060,6.2,0.1,0:02.36,slam_karto,0.0
2020-05-21 11:51:15.015773,22204,651060,13.3,0.1,0:02.38,slam_karto,0.0
2020-05-21 11:51:15.198763,22204,651060,0.0,0.1,0:02.38,slam_karto,0.0
2020-05-21 11:51:15.383781,22204,651060,0.0,0.1,0:02.39,slam_karto,0.0
2020-05-21 11:51:15.564161,22204,651060,6.7,0.1,0:02.40,slam_karto,0.0
2020-05-21 11:51:15.745050,22204,651060,6.7,0.1,0:02.41,slam_karto,0.0
2020-05-21 11:51:15.939394,22204,651060,5.9,0.1,0:02.43,slam_karto,0.0
2020-05-21 11:51:16.115703,22204,651060,0.0,0.1,0:02.43,slam_karto,0.0
2020-05-21 11:51:16.291876,22204,651060,6.7,0.1,0:02.44,slam_karto,0.0
2020-05-21 11:51:16.480596,22204,651060,6.2,0.1,0:02.46,slam_karto,0.0
2020-05-21 11:51:16.659824,22204,651060,6.7,0.1,0:02.47,slam_karto,0.0
2020-05-21 11:51:16.819070,22204,651060,0.0,0.1,0:02.47,slam_karto,0.0
2020-05-21 11:51:16.978119,22204,651060,6.2,0.1,0:02.48,slam_karto,0.0
2020-05-21 11:51:17.137415,22204,651060,0.0,0.1,0:02.48,slam_karto,0.0
2020-05-21 11:51:17.294680,22204,651060,6.7,0.1,0:02.49,slam_karto,0.0
2020-05-21 11:51:17.451552,22204,651060,0.0,0.1,0:02.49,slam_karto,0.0
2020-05-21 11:51:17.609460,22204,651060,6.7,0.1,0:02.50,slam_karto,0.0
2020-05-21 11:51:17.767246,22204,651060,6.2,0.1,0:02.51,slam_karto,0.0
2020-05-21 11:51:17.926808,22204,651060,0.0,0.1,0:02.51,slam_karto,0.0
2020-05-21 11:51:18.084686,22204,651060,0.0,0.1,0:02.51,slam_karto,0.0
2020-05-21 11:51:18.244859,22204,651060,0.0,0.1,0:02.51,slam_karto,0.0
2020-05-21 11:51:18.404285,22204,651060,6.7,0.1,0:02.52,slam_karto,0.0
2020-05-21 11:51:18.562665,22204,651060,0.0,0.1,0:02.52,slam_karto,0.0
