DateTime,Ram(MB),VirtualResource(MB),CPU(%),Memory(%),Runtime,ProcessName,VehicleSpeed
2020-05-22 12:54:01.040421,1465.344,2125404,6.7,6.1,0:08.99,hector_map+,0.0
2020-05-22 12:54:01.197476,1465.344,2125404,6.2,6.1,0:09.00,hector_map+,0.0
2020-05-22 12:54:01.356225,1465.344,2125404,6.7,6.1,0:09.01,hector_map+,0.0
2020-05-22 12:54:01.514959,1465.344,2125404,0.0,6.1,0:09.01,hector_map+,0.0
2020-05-22 12:54:01.673926,1465.344,2125404,100.0,6.1,0:09.17,hector_map+,0.0
2020-05-22 12:54:01.831509,1465.344,2125404,6.7,6.1,0:09.18,hector_map+,0.0
2020-05-22 12:54:01.990411,1465.344,2125404,0.0,6.1,0:09.18,hector_map+,0.0
2020-05-22 12:54:02.146649,1465.344,2125404,6.7,6.1,0:09.19,hector_map+,0.0
2020-05-22 12:54:02.304417,1465.344,2125404,6.7,6.1,0:09.20,hector_map+,0.0
2020-05-22 12:54:02.464064,1465.344,2125404,0.0,6.1,0:09.20,hector_map+,0.0
2020-05-22 12:54:02.624982,1465.344,2125404,0.0,6.1,0:09.20,hector_map+,0.0
2020-05-22 12:54:02.785463,1465.344,2125404,6.7,6.1,0:09.21,hector_map+,0.0
2020-05-22 12:54:02.962083,1465.344,2125404,6.2,6.1,0:09.23,hector_map+,0.0
2020-05-22 12:54:03.136179,1465.344,2125404,0.0,6.1,0:09.23,hector_map+,0.0
2020-05-22 12:54:03.312351,1465.344,2125404,6.2,6.1,0:09.25,hector_map+,0.0
2020-05-22 12:54:03.486902,1465.344,2125404,6.7,6.1,0:09.26,hector_map+,0.0
2020-05-22 12:54:03.658782,1465.344,2125404,6.7,6.1,0:09.27,hector_map+,0.0
2020-05-22 12:54:03.832857,1465.344,2125404,13.3,6.1,0:09.29,hector_map+,0.0
2020-05-22 12:54:04.002871,1465.344,2125404,6.7,6.1,0:09.30,hector_map+,0.0
2020-05-22 12:54:04.173545,1465.344,2125404,6.7,6.1,0:09.31,hector_map+,0.0
2020-05-22 12:54:04.356558,1465.344,2125404,6.7,6.1,0:09.32,hector_map+,0.0
2020-05-22 12:54:04.531976,1465.344,2125404,6.7,6.1,0:09.34,hector_map+,0.0
2020-05-22 12:54:04.705183,1465.344,2125404,6.7,6.1,0:09.35,hector_map+,0.0
2020-05-22 12:54:04.865041,1465.344,2125404,6.7,6.1,0:09.36,hector_map+,0.0
2020-05-22 12:54:05.021014,1465.344,2125404,0.0,6.1,0:09.36,hector_map+,0.0
2020-05-22 12:54:05.178461,1465.344,2125404,0.0,6.1,0:09.36,hector_map+,0.0
2020-05-22 12:54:05.336346,1465.344,2125404,40.0,6.1,0:09.42,hector_map+,0.0
2020-05-22 12:54:05.494315,1525.76,2189416,106.7,6.4,0:09.58,hector_map+,0.0
2020-05-22 12:54:05.658428,1465.344,2125404,13.3,6.1,0:09.62,hector_map+,0.0
2020-05-22 12:54:05.815707,1465.344,2125404,0.0,6.1,0:09.62,hector_map+,0.0
2020-05-22 12:54:05.973544,1465.344,2125404,0.0,6.1,0:09.62,hector_map+,0.0
2020-05-22 12:54:06.131555,1465.344,2125404,13.3,6.1,0:09.64,hector_map+,0.0
2020-05-22 12:54:06.289555,1465.344,2125404,0.0,6.1,0:09.64,hector_map+,0.0
2020-05-22 12:54:06.447331,1465.344,2125404,0.0,6.1,0:09.64,hector_map+,0.0
2020-05-22 12:54:06.607201,1465.344,2125404,6.2,6.1,0:09.66,hector_map+,0.0
2020-05-22 12:54:06.764664,1465.344,2125404,0.0,6.1,0:09.66,hector_map+,0.0
2020-05-22 12:54:06.920796,1465.344,2125404,0.0,6.1,0:09.66,hector_map+,0.0
2020-05-22 12:54:07.079770,1465.344,2125404,0.0,6.1,0:09.67,hector_map+,0.0
2020-05-22 12:54:07.237181,1465.344,2125404,0.0,6.1,0:09.67,hector_map+,0.0
2020-05-22 12:54:07.393755,1465.344,2125404,6.7,6.1,0:09.68,hector_map+,0.0
2020-05-22 12:54:07.555504,1465.344,2125404,6.7,6.1,0:09.69,hector_map+,0.0
2020-05-22 12:54:07.716563,1465.344,2125404,73.3,6.1,0:09.80,hector_map+,0.0
2020-05-22 12:54:07.898107,1465.344,2125404,106.7,6.1,0:09.98,hector_map+,0.0
2020-05-22 12:54:08.072376,1465.344,2125404,33.3,6.1,0:10.04,hector_map+,0.0
2020-05-22 12:54:08.250365,1465.344,2125404,6.2,6.1,0:10.05,hector_map+,0.0
2020-05-22 12:54:08.429485,1465.344,2125404,6.2,6.1,0:10.06,hector_map+,0.0
2020-05-22 12:54:08.604134,1465.344,2125404,6.7,6.1,0:10.07,hector_map+,0.0
2020-05-22 12:54:08.779650,1465.344,2125404,12.5,6.1,0:10.09,hector_map+,0.0
2020-05-22 12:54:08.950913,1465.344,2125404,6.7,6.1,0:10.10,hector_map+,0.0
2020-05-22 12:54:09.127147,1465.344,2125404,6.7,6.1,0:10.11,hector_map+,0.0
2020-05-22 12:54:09.316106,1465.344,2125404,6.7,6.1,0:10.12,hector_map+,0.0
2020-05-22 12:54:09.494123,1465.344,2125404,13.3,6.1,0:10.14,hector_map+,0.0
2020-05-22 12:54:09.671014,1465.344,2125404,6.2,6.1,0:10.15,hector_map+,0.0
2020-05-22 12:54:09.844382,1465.344,2125404,6.7,6.1,0:10.16,hector_map+,0.0
2020-05-22 12:54:10.000577,1465.344,2125404,6.7,6.1,0:10.17,hector_map+,0.0
2020-05-22 12:54:10.157715,1465.344,2125404,0.0,6.1,0:10.17,hector_map+,0.0
2020-05-22 12:54:10.314138,1465.344,2125404,0.0,6.1,0:10.17,hector_map+,0.0
2020-05-22 12:54:10.471553,1465.344,2125404,6.7,6.1,0:10.18,hector_map+,0.0
