DateTime,Ram(MB),VirtualResource(MB),CPU(%),Memory(%),Runtime,ProcessName,VehicleSpeed
2020-05-22 12:11:09.260578,22020,651076,0.0,0.1,0:08.85,slam_karto,0.0
2020-05-22 12:11:09.594928,22020,651076,6.7,0.1,0:08.88,slam_karto,0.0
2020-05-22 12:11:09.757248,22020,651076,0.0,0.1,0:08.88,slam_karto,0.0
2020-05-22 12:11:09.916871,22020,651076,0.0,0.1,0:08.88,slam_karto,0.0
2020-05-22 12:11:10.075300,22020,651076,6.7,0.1,0:08.89,slam_karto,0.0
2020-05-22 12:11:10.233666,22020,651076,6.7,0.1,0:08.90,slam_karto,0.0
2020-05-22 12:11:10.392114,22020,651076,0.0,0.1,0:08.90,slam_karto,0.0
2020-05-22 12:11:10.550070,22020,651076,0.0,0.1,0:08.90,slam_karto,0.0
2020-05-22 12:11:10.705619,22020,651076,0.0,0.1,0:08.90,slam_karto,0.0
2020-05-22 12:11:10.863242,22020,651076,0.0,0.1,0:08.91,slam_karto,0.0
2020-05-22 12:11:11.020809,22020,651076,0.0,0.1,0:08.91,slam_karto,0.0
2020-05-22 12:11:11.178170,22020,651076,0.0,0.1,0:08.91,slam_karto,0.0
2020-05-22 12:11:11.336220,22020,651076,13.3,0.1,0:08.93,slam_karto,0.0
2020-05-22 12:11:11.495171,22020,651076,0.0,0.1,0:08.93,slam_karto,0.0
2020-05-22 12:11:11.654517,22020,651076,0.0,0.1,0:08.93,slam_karto,0.0
2020-05-22 12:11:11.816534,22020,651076,0.0,0.1,0:08.93,slam_karto,0.0
2020-05-22 12:11:11.975289,22020,651076,13.3,0.1,0:08.95,slam_karto,0.0
2020-05-22 12:11:12.133803,22020,651076,0.0,0.1,0:08.95,slam_karto,0.0
2020-05-22 12:11:12.291994,22020,651076,0.0,0.1,0:08.95,slam_karto,0.0
2020-05-22 12:11:12.447772,22020,651076,6.7,0.1,0:08.96,slam_karto,0.0
2020-05-22 12:11:12.612000,22020,651076,0.0,0.1,0:08.96,slam_karto,0.0
2020-05-22 12:11:12.792880,22020,651076,0.0,0.1,0:08.97,slam_karto,0.0
2020-05-22 12:11:12.969094,22020,651076,6.2,0.1,0:08.98,slam_karto,0.0
2020-05-22 12:11:13.152351,22020,651076,6.2,0.1,0:08.99,slam_karto,0.0
2020-05-22 12:11:13.337586,22020,651076,6.7,0.1,0:09.00,slam_karto,0.0
2020-05-22 12:11:13.511469,22020,651076,6.2,0.1,0:09.01,slam_karto,0.0
