DateTime,Ram(MB),VirtualResource(MB),CPU(%),Memory(%),Runtime,ProcessName,VehicleSpeed
2020-05-21 10:31:08.670630,531460,1199460,0.0,2.2,0:06.22,slam_gmapp+,0.0
2020-05-21 10:31:08.828602,531460,1199460,0.0,2.2,0:06.22,slam_gmapp+,0.0
2020-05-21 10:31:08.984630,531460,1199460,6.7,2.2,0:06.23,slam_gmapp+,0.0
2020-05-21 10:31:09.141448,531460,1199460,0.0,2.2,0:06.23,slam_gmapp+,0.0
2020-05-21 10:31:09.297252,531460,1199460,6.2,2.2,0:06.24,slam_gmapp+,0.0
2020-05-21 10:31:09.452592,531460,1199460,0.0,2.2,0:06.24,slam_gmapp+,0.0
2020-05-21 10:31:09.612323,531460,1199460,0.0,2.2,0:06.24,slam_gmapp+,0.0
2020-05-21 10:31:09.784959,531460,1199460,6.7,2.2,0:06.25,slam_gmapp+,0.0
2020-05-21 10:31:09.965511,531460,1199460,6.7,2.2,0:06.26,slam_gmapp+,0.0
2020-05-21 10:31:10.137021,531460,1199460,6.7,2.2,0:06.27,slam_gmapp+,0.0
2020-05-21 10:31:10.309577,531460,1199460,6.2,2.2,0:06.28,slam_gmapp+,0.0
2020-05-21 10:31:10.482857,531460,1199460,0.0,2.2,0:06.29,slam_gmapp+,0.0
2020-05-21 10:31:10.667224,531460,1199460,6.7,2.2,0:06.30,slam_gmapp+,0.0
2020-05-21 10:31:10.837500,531460,1199460,6.7,2.2,0:06.31,slam_gmapp+,0.0
2020-05-21 10:31:11.014447,531460,1199460,6.7,2.2,0:06.32,slam_gmapp+,0.0
2020-05-21 10:31:11.199001,531460,1199460,6.7,2.2,0:06.33,slam_gmapp+,0.0
2020-05-21 10:31:11.371930,531460,1199460,6.7,2.2,0:06.34,slam_gmapp+,0.0
2020-05-21 10:31:11.551585,531460,1199460,6.2,2.2,0:06.35,slam_gmapp+,0.0
2020-05-21 10:31:11.720676,531460,1199460,0.0,2.2,0:06.35,slam_gmapp+,0.0
2020-05-21 10:31:11.876465,531460,1199460,6.7,2.2,0:06.36,slam_gmapp+,0.0
